id_absencia,id_colaborador,data_absencia,tipo_absencia,justificada,dias_ausencia,horas_ausencia
50,11,2021-08-19,Atestado,1,1,8
51,11,2025-05-29,Falta injustificada,0,1,8
52,11,2025-04-07,Falta injustificada,0,2,16
53,12,2025-01-30,Atestado,1,3,24
54,12,2025-03-24,Atestado,1,2,16
55,12,2023-11-19,Falta injustificada,0,1,8
56,12,2022-07-02,Atestado,1,1,8
57,12,2024-09-14,Falta injustificada,0,2,16
58,12,2023-04-14,Atestado,1,2,16
59,12,2022-04-10,Atestado,1,3,24
60,13,2024-11-05,Atraso,1,0,1
61,13,2022-12-20,Falta injustificada,0,2,16
62,13,2023-08-29,Atestado,1,2,16
63,14,2022-03-27,Atestado,1,1,8
64,15,2025-10-14,Atraso,1,0,2
65,15,2025-04-11,Falta injustificada,0,2,16
66,16,2024-07-11,Falta injustificada,0,2,16
67,16,2023-08-30,Atestado,1,2,16
68,16,2025-05-03,Atraso,1,0,3
69,16,2024-02-28,Atestado,1,3,24
70,16,2024-10-17,Atestado,1,1,8
71,17,2024-06-26,Atraso,1,0,1
72,17,2022-03-19,Atraso,1,0,1
73,17,2023-11-29,Falta injustificada,0,3,24
74,17,2022-03-28,Atraso,1,0,3
75,17,2023-06-19,Atestado,1,3,24
76,17,2025-04-12,Atestado,1,1,8
77,18,2025-12-24,Atestado,1,2,16
78,18,2024-07-11,Atestado,1,2,16
79,18,2023-10-14,Falta injustificada,0,3,24
80,18,2023-11-09,Falta injustificada,0,1,8
81,19,2025-03-25,Atestado,1,1,8
82,20,2025-12-23,Licença curta,1,3,24
83,21,2025-08-24,Atraso,1,0,1
84,21,2025-05-16,Atestado,1,1,8
85,22,2025-07-01,Atestado,1,1,8
86,22,2025-10-02,Atestado,1,2,16
87,22,2025-07-03,Atestado,1,3,24
88,22,2025-03-16,Atraso,1,0,1
89,22,2025-01-11,Atestado,1,3,24
90,22,2024-10-05,Falta injustificada,0,3,24
91,23,2025-07-12,Atestado,1,3,24
92,24,2025-05-01,Falta injustificada,0,2,16
93,25,2024-11-03,Falta injustificada,0,3,24
94,25,2025-07-08,Falta injustificada,0,2,16
95,25,2025-02-19,Falta injustificada,0,3,24
96,25,2024-10-25,Atraso,1,0,1
97,26,2020-08-16,Atestado,1,1,8
98,26,2019-11-09,Atraso,1,0,2
99,27,2023-07-27,Atestado,1,1,8
100,27,2024-08-24,Licença curta,1,2,16
101,27,2025-02-18,Falta injustificada,0,3,24
102,27,2025-08-13,Atraso,1,0,2
103,27,2025-11-21,Atestado,1,2,16
104,27,2023-02-16,Atestado,1,2,16
105,27,2024-11-27,Falta injustificada,0,3,24
106,27,2021-08-20,Licença curta,1,2,16
107,27,2022-07-06,Atestado,1,1,8
108,27,2024-07-19,Atraso,1,0,4
109,27,2025-07-11,Falta injustificada,0,3,24
110,27,2025-10-31,Licença curta,1,2,16
111,27,2025-07-15,Atestado,1,1,8
112,28,2024-08-28,Atestado,1,1,8
113,28,2023-06-29,Atestado,1,3,24
114,28,2022-08-02,Falta injustificada,0,2,16
115,30,2024-09-23,Atestado,1,1,8
116,30,2022-01-08,Atestado,1,3,24
117,30,2023-04-07,Atestado,1,2,16
118,30,2023-02-17,Atestado,1,2,16
119,30,2023-07-30,Falta injustificada,0,1,8
120,30,2019-10-22,Atraso,1,0,4
121,30,2025-06-09,Falta injustificada,0,2,16
122,30,2021-02-22,Atestado,1,2,16
123,30,2020-05-31,Licença curta,1,4,32
124,30,2025-11-14,Atraso,1,0,2
125,30,2020-04-23,Falta injustificada,0,1,8
126,30,2025-12-29,Licença curta,1,4,32
127,30,2020-12-11,Falta injustificada,0,2,16
128,30,2020-01-24,Atestado,1,1,8
129,30,2024-07-22,Falta injustificada,0,3,24
130,31,2024-08-16,Atestado,1,2,16
131,31,2025-01-06,Atestado,1,2,16
132,31,2025-12-27,Falta injustificada,0,2,16
133,31,2022-07-24,Atraso,1,0,4
134,31,2022-04-14,Atestado,1,2,16
135,31,2024-02-13,Falta injustificada,0,1,8
136,31,2025-06-08,Licença curta,1,3,24
137,31,2023-05-02,Atestado,1,1,8
138,31,2020-02-12,Falta injustificada,0,3,24
139,31,2022-04-27,Atraso,1,0,1
140,31,2022-01-17,Atraso,1,0,3
141,31,2022-09-07,Atestado,1,1,8
142,31,2021-03-29,Atestado,1,3,24
143,31,2019-06-01,Atestado,1,1,8
144,31,2018-02-19,Atestado,1,1,8
145,31,2025-04-11,Atestado,1,1,8
146,32,2022-11-16,Atestado,1,3,24
147,32,2024-10-18,Atestado,1,3,24
148,32,2024-07-08,Atraso,1,0,4
149,32,2022-10-31,Atestado,1,1,8
150,32,2022-11-03,Atestado,1,3,24
151,32,2024-05-26,Falta injustificada,0,2,16
152,32,2025-12-20,Falta injustificada,0,3,24
153,33,2025-07-21,Falta injustificada,0,3,24
154,33,2024-11-12,Licença curta,1,5,40
155,33,2025-10-15,Atraso,1,0,1
156,34,2023-07-14,Atraso,1,0,2
157,34,2024-12-19,Atestado,1,2,16
158,34,2023-02-02,Falta injustificada,0,2,16
159,34,2021-04-22,Falta injustificada,0,1,8
160,34,2023-07-16,Atestado,1,3,24
161,34,2018-11-10,Atestado,1,3,24
162,34,2024-05-12,Atestado,1,3,24
163,34,2021-06-06,Falta injustificada,0,3,24
164,34,2024-05-27,Atraso,1,0,4
165,34,2021-10-17,Atestado,1,2,16
166,34,2024-11-25,Atraso,1,0,1
167,34,2025-03-28,Falta injustificada,0,2,16
168,35,2020-03-24,Falta injustificada,0,1,8
169,35,2025-04-09,Atestado,1,3,24
170,35,2023-12-26,Falta injustificada,0,1,8
171,35,2025-04-02,Atraso,1,0,1
172,35,2020-09-30,Atestado,1,1,8
173,35,2025-10-03,Atraso,1,0,3
174,35,2022-12-26,Atestado,1,2,16
175,35,2025-08-25,Atestado,1,1,8
176,35,2025-09-20,Falta injustificada,0,3,24
177,35,2020-11-04,Falta injustificada,0,1,8
178,35,2025-02-24,Atestado,1,3,24
179,36,2021-04-01,Falta injustificada,0,3,24
180,36,2023-11-17,Licença curta,1,2,16
181,36,2024-03-24,Atraso,1,0,4
182,36,2020-06-30,Atestado,1,2,16
183,36,2025-06-19,Atraso,1,0,1
184,36,2025-08-20,Falta injustificada,0,3,24
185,36,2024-02-03,Atestado,1,2,16
186,36,2024-05-01,Atestado,1,2,16
187,36,2023-08-14,Atraso,1,0,3
188,36,2022-04-03,Atestado,1,1,8
189,37,2025-05-23,Atestado,1,3,24
190,37,2025-09-11,Atestado,1,2,16
191,37,2025-07-27,Atestado,1,3,24
192,37,2022-12-15,Atestado,1,1,8
193,37,2025-01-08,Atestado,1,2,16
194,37,2024-09-26,Atraso,1,0,2
195,37,2022-06-11,Licença curta,1,2,16
196,37,2025-03-05,Falta injustificada,0,2,16
197,37,2025-08-18,Licença curta,1,2,16
198,37,2023-02-07,Falta injustificada,0,2,16
199,37,2021-12-15,Falta injustificada,0,1,8
200,37,2024-04-30,Licença curta,1,2,16
201,37,2025-11-21,Falta injustificada,0,2,16
202,39,2023-03-16,Falta injustificada,0,1,8
203,39,2025-03-30,Licença curta,1,4,32
204,39,2023-05-02,Atestado,1,2,16
205,39,2021-11-14,Falta injustificada,0,3,24
206,39,2022-06-01,Atestado,1,3,24
207,39,2022-10-08,Falta injustificada,0,3,24
208,39,2025-12-07,Falta injustificada,0,1,8
209,39,2025-06-26,Atestado,1,2,16
210,39,2023-11-12,Atestado,1,1,8
211,39,2023-04-04,Falta injustificada,0,3,24
212,39,2023-02-11,Atestado,1,2,16
213,39,2022-10-21,Atestado,1,3,24
214,39,2021-12-22,Atraso,1,0,1
215,40,2022-05-24,Falta injustificada,0,1,8
216,40,2025-11-23,Atraso,1,0,4
217,40,2021-04-14,Licença curta,1,3,24
218,40,2025-03-02,Atraso,1,0,1
219,40,2023-04-02,Atestado,1,2,16
220,40,2024-10-15,Atestado,1,2,16
221,40,2021-10-21,Atestado,1,3,24
222,40,2022-12-09,Falta injustificada,0,3,24
223,40,2024-01-17,Falta injustificada,0,1,8
224,41,2021-02-13,Falta injustificada,0,3,24
225,41,2022-08-17,Atestado,1,1,8
226,41,2025-12-16,Atestado,1,2,16
227,41,2020-01-22,Atestado,1,1,8
228,41,2020-08-20,Atestado,1,2,16
229,41,2023-03-25,Atraso,1,0,4
230,41,2024-02-05,Atestado,1,2,16
231,41,2024-02-05,Atestado,1,3,24
232,41,2024-09-23,Falta injustificada,0,1,8
233,41,2023-01-06,Licença curta,1,5,40
234,41,2024-01-29,Atestado,1,2,16
235,41,2020-05-20,Atestado,1,3,24
236,42,2023-07-24,Atestado,1,1,8
237,42,2022-09-28,Atestado,1,2,16
238,42,2023-04-07,Atraso,1,0,1
239,42,2024-12-04,Atestado,1,2,16
240,42,2024-02-04,Atestado,1,3,24
241,42,2021-05-09,Atraso,1,0,2
242,42,2021-09-01,Atestado,1,3,24
243,42,2024-09-11,Atestado,1,2,16
244,43,2025-08-12,Licença curta,1,4,32
245,43,2025-05-05,Atestado,1,2,16
246,43,2025-02-24,Atestado,1,1,8
247,43,2025-02-12,Atraso,1,0,1
248,43,2025-07-01,Atestado,1,2,16
249,44,2023-12-03,Atestado,1,3,24
250,44,2025-11-12,Falta injustificada,0,1,8
251,44,2025-06-24,Atestado,1,2,16
252,44,2023-07-29,Atestado,1,2,16
253,44,2025-08-20,Atestado,1,1,8
254,44,2022-08-12,Atestado,1,1,8
255,44,2022-08-19,Falta injustificada,0,2,16
256,44,2023-02-11,Atraso,1,0,3
257,44,2025-07-05,Atestado,1,1,8
258,45,2025-04-01,Licença curta,1,4,32
259,45,2023-12-24,Atestado,1,3,24
260,45,2024-05-03,Atestado,1,2,16
261,45,2023-10-31,Falta injustificada,0,1,8
262,46,2025-05-06,Falta injustificada,0,3,24
263,47,2021-03-06,Atestado,1,1,8
264,47,2022-07-31,Atestado,1,3,24
265,48,2021-06-03,Atestado,1,3,24
266,48,2021-05-27,Atestado,1,1,8
267,48,2021-07-07,Atestado,1,2,16
268,48,2022-02-16,Atestado,1,1,8
269,48,2022-02-14,Atestado,1,2,16
270,48,2023-05-12,Atestado,1,2,16
271,48,2020-11-27,Licença curta,1,5,40
272,48,2023-02-27,Atestado,1,2,16
273,48,2023-09-07,Falta injustificada,0,2,16
274,48,2021-11-15,Atestado,1,1,8
275,48,2023-03-02,Atestado,1,1,8
276,48,2024-05-07,Atestado,1,2,16
277,48,2023-10-15,Atestado,1,1,8
278,49,2024-11-23,Atestado,1,2,16
279,49,2024-09-02,Atestado,1,2,16
280,49,2024-05-14,Licença curta,1,5,40
281,49,2024-09-25,Atestado,1,3,24
282,49,2025-04-10,Atestado,1,1,8
283,49,2025-12-24,Atestado,1,2,16
284,49,2024-06-23,Atraso,1,0,1
285,49,2024-07-29,Atraso,1,0,1
286,50,2024-03-24,Atestado,1,2,16
287,50,2020-08-12,Atestado,1,3,24
288,50,2025-05-19,Atraso,1,0,1
289,50,2019-05-11,Atestado,1,2,16
290,50,2021-01-25,Atestado,1,1,8
291,50,2018-07-22,Atestado,1,1,8
292,50,2018-12-15,Atraso,1,0,1
293,50,2024-07-28,Licença curta,1,4,32
294,50,2023-03-02,Licença curta,1,2,16
295,50,2023-09-30,Atestado,1,1,8
296,50,2025-06-27,Atestado,1,3,24
297,50,2018-03-05,Atraso,1,0,1
298,51,2023-07-03,Falta injustificada,0,3,24
299,52,2022-05-27,Atestado,1,2,16
300,52,2019-09-21,Licença curta,1,4,32
301,52,2022-05-30,Atraso,1,0,2
302,52,2024-06-19,Atraso,1,0,1
303,52,2018-01-24,Atraso,1,0,1
304,52,2023-10-21,Atestado,1,3,24
305,52,2023-07-11,Falta injustificada,0,2,16
306,52,2022-11-30,Atestado,1,2,16
307,52,2018-10-23,Licença curta,1,3,24
308,52,2018-01-22,Atestado,1,2,16
309,52,2025-10-02,Licença curta,1,5,40
310,52,2019-05-20,Licença curta,1,4,32
311,52,2021-10-05,Atestado,1,3,24
312,52,2021-06-02,Atraso,1,0,1
313,52,2022-07-07,Licença curta,1,2,16
314,52,2025-02-10,Atestado,1,3,24
315,52,2019-01-15,Falta injustificada,0,2,16
316,52,2024-01-07,Atestado,1,2,16
317,52,2018-12-04,Atestado,1,2,16
318,52,2021-04-10,Atestado,1,3,24
319,52,2020-04-19,Atestado,1,1,8
320,52,2024-03-29,Atraso,1,0,2
321,52,2018-06-19,Falta injustificada,0,2,16
322,53,2023-10-25,Atraso,1,0,4
323,53,2024-06-02,Atestado,1,3,24
324,54,2024-07-02,Falta injustificada,0,1,8
325,55,2025-11-05,Atestado,1,3,24
326,55,2025-01-31,Atraso,1,0,1
327,55,2025-06-11,Atraso,1,0,2
328,55,2024-04-25,Atestado,1,3,24
329,55,2025-04-22,Falta injustificada,0,3,24
330,55,2024-08-11,Atestado,1,1,8
331,55,2024-03-06,Atestado,1,1,8
332,57,2018-12-02,Atestado,1,3,24
333,57,2025-04-14,Atestado,1,1,8
334,57,2024-02-14,Atestado,1,2,16
335,57,2019-05-06,Licença curta,1,4,32
336,57,2024-03-28,Atestado,1,3,24
337,57,2023-09-04,Atraso,1,0,2
338,57,2018-10-27,Falta injustificada,0,1,8
339,57,2022-06-10,Atestado,1,1,8
340,57,2022-06-04,Licença curta,1,2,16
341,57,2023-03-08,Atestado,1,1,8
342,58,2024-10-27,Falta injustificada,0,3,24
343,58,2025-02-20,Atestado,1,3,24
344,60,2025-04-09,Atestado,1,3,24
345,60,2025-09-16,Licença curta,1,3,24
346,60,2025-12-13,Atraso,1,0,3
347,60,2024-01-04,Atestado,1,1,8
348,60,2022-11-28,Atestado,1,3,24
349,61,2021-09-19,Atestado,1,2,16
350,61,2024-08-04,Atraso,1,0,3
351,61,2021-01-12,Atestado,1,2,16
352,61,2024-05-23,Atestado,1,1,8
353,61,2022-04-15,Atraso,1,0,1
354,61,2024-11-09,Falta injustificada,0,3,24
355,61,2021-08-28,Atestado,1,1,8
356,61,2021-11-21,Atestado,1,3,24
357,61,2021-03-16,Licença curta,1,4,32
358,62,2025-07-30,Licença curta,1,2,16
359,62,2023-07-15,Atraso,1,0,1
360,63,2024-12-21,Falta injustificada,0,1,8
361,63,2024-11-10,Atestado,1,1,8
362,63,2022-02-21,Atraso,1,0,1
363,63,2022-03-09,Atestado,1,2,16
364,63,2024-11-18,Licença curta,1,3,24
365,64,2019-10-30,Atestado,1,1,8
366,64,2023-11-25,Atestado,1,2,16
367,64,2023-08-18,Atraso,1,0,2
368,64,2022-10-04,Licença curta,1,2,16
369,64,2025-07-31,Atestado,1,3,24
370,64,2020-08-29,Atestado,1,2,16
371,64,2021-07-06,Atraso,1,0,2
372,64,2019-08-19,Atestado,1,3,24
373,64,2021-01-24,Atestado,1,2,16
374,64,2019-10-30,Atestado,1,1,8
375,64,2022-03-11,Atestado,1,1,8
376,64,2023-10-11,Licença curta,1,3,24
377,65,2023-08-20,Atestado,1,3,24
378,65,2021-05-02,Atestado,1,2,16
379,65,2022-03-20,Falta injustificada,0,3,24
380,65,2019-12-10,Atraso,1,0,1
381,65,2020-12-24,Falta injustificada,0,1,8
382,65,2023-09-14,Falta injustificada,0,1,8
383,65,2019-08-30,Atestado,1,2,16
384,65,2020-05-22,Atestado,1,1,8
385,66,2019-11-07,Atestado,1,1,8
386,66,2020-10-08,Atestado,1,3,24
387,66,2022-12-14,Falta injustificada,0,2,16
388,67,2025-10-26,Atraso,1,0,2
389,69,2021-11-13,Atraso,1,0,1
390,69,2019-11-29,Atraso,1,0,2
391,69,2020-05-10,Atestado,1,1,8
392,69,2020-09-19,Atestado,1,3,24
393,69,2021-09-22,Atestado,1,2,16
394,69,2020-07-16,Licença curta,1,3,24
395,69,2019-05-31,Atestado,1,3,24
396,69,2020-03-17,Licença curta,1,5,40
397,69,2019-09-11,Atestado,1,3,24
398,70,2022-09-09,Atraso,1,0,1
399,70,2022-10-27,Atestado,1,2,16
400,70,2021-11-09,Atraso,1,0,1
401,70,2023-05-30,Atraso,1,0,1
402,70,2022-07-04,Atestado,1,1,8
403,70,2022-03-05,Atestado,1,3,24
404,70,2022-02-10,Atestado,1,3,24
405,71,2022-11-05,Atestado,1,3,24
406,71,2023-08-30,Atestado,1,1,8
407,71,2023-06-02,Atestado,1,3,24
408,71,2024-07-06,Atraso,1,0,1
409,71,2021-12-25,Falta injustificada,0,2,16
410,71,2021-02-10,Licença curta,1,3,24
411,71,2021-06-12,Falta injustificada,0,1,8
412,71,2024-08-28,Atraso,1,0,1
413,71,2025-07-19,Atestado,1,2,16
414,71,2023-08-09,Atraso,1,0,2
415,71,2021-10-21,Falta injustificada,0,1,8
416,71,2024-07-28,Falta injustificada,0,1,8
417,71,2021-02-12,Atestado,1,3,24
418,71,2022-11-09,Atestado,1,2,16
419,71,2021-12-28,Atraso,1,0,2
420,72,2023-07-17,Atraso,1,0,1
421,72,2022-07-06,Atestado,1,2,16
422,72,2024-07-24,Atestado,1,2,16
423,72,2021-05-06,Atestado,1,1,8
424,72,2025-04-03,Licença curta,1,2,16
425,72,2024-02-12,Atestado,1,1,8
426,72,2021-12-27,Atestado,1,1,8
427,72,2023-10-28,Licença curta,1,2,16
428,72,2021-07-02,Atestado,1,1,8
429,72,2025-02-23,Atraso,1,0,1
430,72,2023-08-06,Atestado,1,3,24
431,72,2024-05-09,Licença curta,1,4,32
432,72,2023-06-15,Atestado,1,1,8
433,72,2025-04-17,Falta injustificada,0,3,24
434,73,2025-12-21,Atestado,1,2,16
435,73,2022-03-24,Atestado,1,1,8
436,74,2024-08-15,Atestado,1,1,8
437,74,2023-05-06,Falta injustificada,0,1,8
438,74,2025-02-08,Falta injustificada,0,1,8
439,74,2024-11-25,Atestado,1,1,8
440,74,2023-03-17,Atestado,1,2,16
441,74,2025-07-06,Licença curta,1,2,16
442,74,2025-03-28,Atraso,1,0,1
443,74,2023-08-10,Falta injustificada,0,1,8
444,75,2023-02-02,Atraso,1,0,1
445,75,2022-03-22,Falta injustificada,0,1,8
446,75,2021-11-04,Atestado,1,2,16
447,75,2020-06-08,Atestado,1,2,16
448,76,2021-11-02,Atestado,1,3,24
449,76,2023-09-06,Atestado,1,2,16
450,76,2021-12-05,Atestado,1,2,16
451,76,2021-02-01,Atestado,1,1,8
452,76,2020-04-30,Licença curta,1,4,32
453,76,2021-03-11,Atestado,1,1,8
454,76,2024-11-17,Atestado,1,2,16
455,76,2024-05-08,Atestado,1,1,8
456,76,2023-07-07,Falta injustificada,0,1,8
457,76,2022-12-20,Atestado,1,3,24
458,76,2021-06-02,Atestado,1,3,24
459,76,2021-07-26,Atestado,1,3,24
460,76,2025-11-10,Atestado,1,1,8
461,76,2020-08-18,Atestado,1,2,16
462,77,2024-04-19,Falta injustificada,0,2,16
463,77,2020-11-15,Atestado,1,3,24
464,77,2023-10-04,Falta injustificada,0,2,16
465,77,2021-07-30,Atestado,1,1,8
466,77,2023-04-01,Falta injustificada,0,3,24
467,77,2021-03-19,Atraso,1,0,4
468,77,2021-03-24,Atestado,1,2,16
469,77,2023-04-26,Atestado,1,3,24
470,77,2020-12-09,Atestado,1,3,24
471,77,2020-02-13,Licença curta,1,2,16
472,77,2023-02-18,Licença curta,1,2,16
473,77,2018-11-24,Atestado,1,2,16
474,77,2024-02-07,Atestado,1,1,8
475,77,2023-03-22,Atestado,1,3,24
476,77,2022-11-14,Atestado,1,2,16
477,77,2019-07-19,Atestado,1,2,16
478,77,2024-01-01,Atestado,1,1,8
479,78,2020-02-01,Atestado,1,3,24
480,78,2019-04-17,Falta injustificada,0,3,24
481,78,2023-09-18,Atestado,1,1,8
482,78,2020-08-22,Atestado,1,2,16
483,78,2022-06-21,Atestado,1,1,8
484,78,2020-03-03,Atestado,1,1,8
485,78,2024-07-14,Falta injustificada,0,3,24
486,78,2022-07-28,Atestado,1,1,8
487,78,2024-04-21,Atestado,1,3,24
488,78,2025-09-12,Atestado,1,1,8
489,78,2024-04-03,Atraso,1,0,2
490,78,2024-05-09,Falta injustificada,0,1,8
491,78,2023-09-13,Falta injustificada,0,1,8
492,78,2023-04-23,Atestado,1,3,24
493,78,2024-05-11,Atestado,1,3,24
494,78,2019-03-03,Falta injustificada,0,3,24
495,78,2019-12-12,Atestado,1,2,16
496,78,2022-11-20,Atestado,1,3,24
497,79,2020-02-06,Falta injustificada,0,2,16
498,79,2024-07-05,Falta injustificada,0,2,16
499,79,2025-10-25,Atestado,1,3,24
500,79,2022-01-21,Atestado,1,3,24
501,79,2020-08-22,Atestado,1,3,24
502,79,2023-07-02,Atestado,1,3,24
503,80,2022-10-11,Atestado,1,3,24
504,80,2024-07-06,Atestado,1,2,16
505,81,2025-10-05,Falta injustificada,0,1,8
506,81,2021-05-28,Atestado,1,2,16
507,81,2022-10-31,Atestado,1,2,16
508,81,2024-04-02,Falta injustificada,0,1,8
509,81,2022-10-31,Atestado,1,2,16
510,81,2021-10-06,Atestado,1,3,24
511,81,2023-12-01,Atestado,1,3,24
512,81,2021-02-27,Atestado,1,3,24
513,81,2024-10-04,Atestado,1,1,8
514,81,2021-07-23,Atestado,1,2,16
515,81,2022-02-13,Atestado,1,3,24
516,81,2021-06-02,Atestado,1,3,24
517,81,2023-06-19,Licença curta,1,3,24
518,82,2022-08-28,Atestado,1,3,24
519,82,2022-09-13,Falta injustificada,0,1,8
520,82,2020-03-25,Atraso,1,0,1
521,82,2020-05-30,Licença curta,1,4,32
522,82,2021-04-04,Atestado,1,3,24
523,82,2020-10-21,Atestado,1,2,16
524,82,2018-09-27,Atraso,1,0,1
525,82,2018-10-15,Atestado,1,2,16
526,82,2020-05-15,Atestado,1,2,16
527,82,2021-02-27,Atestado,1,3,24
528,82,2021-05-21,Atestado,1,1,8
529,82,2021-01-25,Atestado,1,3,24
530,83,2021-04-19,Falta injustificada,0,3,24
531,83,2021-09-16,Atestado,1,3,24
532,83,2021-10-24,Atestado,1,2,16
533,84,2023-08-29,Atestado,1,3,24
534,84,2023-03-10,Falta injustificada,0,3,24
535,84,2025-01-04,Atestado,1,1,8
536,84,2022-03-07,Atraso,1,0,1
537,84,2023-09-10,Licença curta,1,2,16
538,85,2024-02-16,Atestado,1,2,16
539,85,2024-04-06,Licença curta,1,4,32
540,85,2024-02-14,Atestado,1,1,8
541,85,2024-03-30,Atestado,1,2,16
542,86,2021-08-09,Falta injustificada,0,3,24
543,86,2021-10-22,Atraso,1,0,1
544,86,2023-10-05,Atestado,1,1,8
545,86,2025-11-18,Atestado,1,1,8
546,86,2023-11-24,Falta injustificada,0,3,24
547,87,2021-08-23,Licença curta,1,4,32
548,87,2023-11-08,Atestado,1,3,24
549,87,2024-07-20,Atraso,1,0,3
550,87,2022-04-04,Atraso,1,0,2
551,87,2024-03-04,Atestado,1,2,16
552,87,2023-11-15,Atestado,1,2,16
553,88,2025-07-01,Atraso,1,0,4
554,88,2025-05-15,Atraso,1,0,1
555,88,2024-06-29,Atestado,1,2,16
556,88,2024-09-23,Atestado,1,1,8
557,89,2023-11-22,Falta injustificada,0,1,8
558,89,2025-04-15,Atraso,1,0,2
559,89,2025-08-21,Atestado,1,2,16
560,89,2024-12-25,Atestado,1,3,24
561,89,2024-10-16,Atestado,1,3,24
562,89,2025-08-22,Falta injustificada,0,2,16
563,89,2025-03-11,Atestado,1,3,24
564,89,2025-09-11,Atestado,1,3,24
565,89,2025-04-25,Atestado,1,3,24
566,90,2025-05-01,Atestado,1,2,16
567,90,2024-07-16,Atestado,1,3,24
568,90,2023-07-30,Atestado,1,2,16
569,90,2023-10-19,Atestado,1,2,16
570,91,2025-08-07,Atestado,1,2,16
571,91,2025-09-13,Licença curta,1,4,32
572,93,2019-12-16,Licença curta,1,3,24
573,93,2023-05-22,Falta injustificada,0,2,16
574,93,2024-07-16,Atestado,1,1,8
575,93,2021-03-25,Licença curta,1,4,32
576,93,2021-06-21,Licença curta,1,3,24
577,93,2021-02-23,Licença curta,1,3,24
578,94,2022-08-14,Licença curta,1,2,16
579,94,2020-05-30,Atestado,1,2,16
580,94,2021-05-15,Atraso,1,0,1
581,94,2024-11-22,Atestado,1,2,16
582,94,2024-02-05,Atestado,1,1,8
583,94,2022-04-02,Atestado,1,3,24
584,95,2025-12-07,Atestado,1,1,8
585,95,2025-06-20,Atestado,1,2,16
586,95,2021-11-10,Atestado,1,1,8
587,95,2022-03-09,Atestado,1,2,16
588,95,2024-01-22,Atraso,1,0,1
589,95,2019-10-29,Atestado,1,3,24
590,95,2021-05-21,Atestado,1,1,8
591,95,2018-04-14,Atestado,1,2,16
592,95,2023-08-09,Atestado,1,1,8
593,95,2023-02-21,Atestado,1,2,16
594,95,2019-10-03,Atraso,1,0,4
595,95,2018-01-19,Atraso,1,0,1
596,95,2024-02-17,Atestado,1,3,24
597,96,2025-06-07,Atestado,1,3,24
598,96,2025-05-01,Falta injustificada,0,2,16
599,96,2025-04-25,Atraso,1,0,3
600,97,2025-01-27,Atraso,1,0,1
601,97,2024-07-26,Atestado,1,3,24
602,97,2023-05-16,Atraso,1,0,1
603,97,2025-03-14,Atestado,1,3,24
604,97,2025-01-01,Atestado,1,2,16
605,97,2023-11-28,Falta injustificada,0,3,24
606,97,2023-04-11,Atestado,1,3,24
607,97,2024-04-20,Atraso,1,0,1
608,97,2023-01-27,Licença curta,1,3,24
609,98,2025-02-16,Atestado,1,1,8
610,98,2022-05-28,Atestado,1,1,8
611,98,2023-06-16,Atestado,1,3,24
612,98,2021-06-03,Atestado,1,2,16
613,98,2022-12-16,Atestado,1,1,8
