id_hora_extra,id_colaborador,data_hora_extra,horas_extras,horas_banco,tipo_lancamento
43,10,2025-08-18,2.68,0.0,Hora extra paga
44,10,2025-01-30,9.03,9.03,Banco de horas positivo
45,10,2024-07-24,9.17,0.0,Compensação
46,10,2025-07-02,8.43,0.0,Hora extra paga
47,10,2025-07-31,4.56,0.0,Hora extra paga
48,11,2024-01-09,3.07,3.07,Banco de horas positivo
49,11,2024-05-16,1.27,0.0,Hora extra paga
50,11,2021-07-07,1.08,1.08,Banco de horas positivo
51,11,2022-04-16,2.29,2.29,Banco de horas positivo
52,11,2022-08-08,1.47,0.0,Hora extra paga
53,11,2025-03-04,5.19,0.0,Hora extra paga
54,11,2020-12-27,2.4,0.0,Hora extra paga
55,11,2023-06-26,0.63,0.0,Compensação
56,11,2023-08-07,3.96,0.0,Hora extra paga
57,11,2023-02-14,2.8,0.0,Hora extra paga
58,11,2020-09-15,4.3,0.0,Compensação
59,11,2022-01-17,5.74,0.0,Hora extra paga
60,12,2024-06-28,0.13,0.0,Hora extra paga
61,12,2023-01-21,0.47,0.47,Banco de horas positivo
62,12,2021-07-06,8.75,0.0,Hora extra paga
63,12,2022-01-13,3.17,3.17,Banco de horas positivo
64,12,2023-06-19,3.22,0.0,Hora extra paga
65,12,2022-11-23,4.46,0.0,Hora extra paga
66,12,2024-02-09,10.76,0.0,Hora extra paga
67,13,2021-05-11,1.5,1.5,Banco de horas positivo
68,13,2025-09-13,12.0,12.0,Banco de horas positivo
69,13,2021-08-24,5.9,5.9,Banco de horas positivo
70,13,2023-07-15,0.21,0.21,Banco de horas positivo
71,13,2022-08-30,5.5,0.0,Hora extra paga
72,14,2022-12-13,2.64,2.64,Banco de horas positivo
73,14,2022-04-20,2.64,0.0,Hora extra paga
74,15,2025-06-14,2.05,2.05,Banco de horas positivo
75,15,2025-10-02,2.0,0.0,Hora extra paga
76,16,2023-10-04,0.64,0.64,Banco de horas positivo
77,16,2025-02-04,4.36,4.36,Banco de horas positivo
78,16,2023-11-20,7.36,0.0,Hora extra paga
79,16,2023-06-21,0.67,0.0,Compensação
80,16,2024-04-19,5.53,5.53,Banco de horas positivo
81,17,2024-04-10,3.58,3.58,Banco de horas positivo
82,17,2024-08-19,0.63,0.63,Banco de horas positivo
83,17,2022-03-30,7.59,0.0,Hora extra paga
84,18,2022-05-02,2.88,2.88,Banco de horas positivo
85,18,2024-02-19,4.05,4.05,Banco de horas positivo
86,18,2025-09-10,10.21,10.21,Banco de horas positivo
87,19,2025-01-22,1.37,0.0,Hora extra paga
88,20,2025-12-05,2.21,0.0,Hora extra paga
89,20,2025-06-13,4.95,4.95,Banco de horas positivo
90,21,2024-10-26,1.51,1.51,Banco de horas positivo
91,22,2024-10-02,7.07,7.07,Banco de horas positivo
92,22,2024-08-01,5.58,0.0,Hora extra paga
93,22,2024-12-30,4.34,0.0,Hora extra paga
94,22,2024-10-20,1.72,0.0,Hora extra paga
95,22,2025-12-03,4.65,0.0,Hora extra paga
96,22,2025-01-20,5.3,5.3,Banco de horas positivo
97,22,2024-10-30,12.0,0.0,Hora extra paga
98,23,2025-04-18,1.9,0.0,Hora extra paga
99,23,2024-01-29,2.94,0.0,Hora extra paga
100,23,2024-04-07,3.66,0.0,Hora extra paga
101,24,2025-03-21,7.52,0.0,Hora extra paga
102,25,2025-12-26,12.0,0.0,Hora extra paga
103,25,2025-04-08,1.36,0.0,Hora extra paga
104,26,2019-02-03,1.98,1.98,Banco de horas positivo
105,26,2021-05-04,2.29,0.0,Compensação
106,26,2021-03-11,3.12,3.12,Banco de horas positivo
107,26,2020-01-14,0.7,0.0,Hora extra paga
108,27,2025-05-30,12.0,12.0,Banco de horas positivo
109,27,2025-12-11,5.33,0.0,Hora extra paga
110,27,2024-01-18,11.7,0.0,Hora extra paga
111,27,2025-09-09,2.16,0.0,Hora extra paga
112,27,2025-05-23,9.79,0.0,Compensação
113,27,2025-02-21,3.92,3.92,Banco de horas positivo
114,27,2024-09-10,1.17,0.0,Hora extra paga
115,27,2023-09-30,0.97,0.0,Hora extra paga
116,27,2022-08-08,4.86,0.0,Hora extra paga
117,27,2025-07-17,5.15,0.0,Hora extra paga
118,27,2023-09-06,4.73,4.73,Banco de horas positivo
119,27,2025-12-04,1.13,0.0,Hora extra paga
120,27,2022-08-04,5.99,0.0,Hora extra paga
121,28,2025-11-09,2.93,0.0,Hora extra paga
122,28,2025-07-25,1.43,1.43,Banco de horas positivo
123,30,2025-10-06,2.57,0.0,Hora extra paga
124,30,2022-06-10,0.38,0.38,Banco de horas positivo
125,30,2021-01-01,4.23,0.0,Hora extra paga
126,30,2025-06-29,4.89,4.89,Banco de horas positivo
127,30,2021-09-13,1.07,0.0,Hora extra paga
128,30,2025-10-23,4.21,0.0,Hora extra paga
129,30,2023-04-15,7.35,7.35,Banco de horas positivo
130,30,2024-04-17,3.46,0.0,Hora extra paga
131,30,2020-01-16,2.24,0.0,Hora extra paga
132,30,2023-07-06,2.92,0.0,Hora extra paga
133,30,2022-04-13,3.06,0.0,Hora extra paga
134,30,2024-10-03,5.13,5.13,Banco de horas positivo
135,30,2019-12-21,3.34,3.34,Banco de horas positivo
136,30,2025-03-29,3.64,0.0,Hora extra paga
137,31,2025-11-20,1.59,0.0,Compensação
138,31,2024-08-09,6.76,6.76,Banco de horas positivo
139,31,2024-02-11,1.32,0.0,Hora extra paga
140,31,2025-02-22,0.49,0.0,Compensação
141,31,2022-10-24,6.81,0.0,Hora extra paga
142,31,2022-07-10,5.9,0.0,Hora extra paga
143,31,2025-08-22,1.1,0.0,Hora extra paga
144,31,2019-05-05,0.53,0.0,Hora extra paga
145,31,2023-02-03,2.99,0.0,Hora extra paga
146,31,2023-05-16,1.91,1.91,Banco de horas positivo
147,31,2025-11-09,3.52,0.0,Hora extra paga
148,31,2018-09-10,0.71,0.71,Banco de horas positivo
149,31,2022-07-10,2.45,0.0,Hora extra paga
150,31,2023-07-29,3.53,0.0,Hora extra paga
151,31,2020-08-26,1.72,1.72,Banco de horas positivo
152,31,2022-07-20,1.53,1.53,Banco de horas positivo
153,31,2023-10-26,3.49,0.0,Hora extra paga
154,31,2019-08-26,1.31,0.0,Hora extra paga
155,31,2018-03-07,0.68,0.68,Banco de horas positivo
156,32,2024-02-12,12.0,0.0,Hora extra paga
157,32,2022-01-30,10.07,0.0,Hora extra paga
158,32,2024-03-06,1.01,0.0,Hora extra paga
159,32,2025-02-06,4.14,0.0,Hora extra paga
160,32,2022-11-16,12.0,0.0,Compensação
161,32,2022-07-17,2.13,2.13,Banco de horas positivo
162,32,2025-10-06,6.17,0.0,Compensação
163,32,2023-01-11,4.07,0.0,Hora extra paga
164,32,2023-01-30,3.18,0.0,Hora extra paga
165,33,2024-12-27,4.0,4.0,Banco de horas positivo
166,33,2025-05-04,2.1,2.1,Banco de horas positivo
167,33,2025-04-12,4.21,0.0,Hora extra paga
168,34,2020-07-24,3.32,0.0,Hora extra paga
169,34,2019-09-29,7.41,0.0,Hora extra paga
170,34,2023-03-10,5.61,5.61,Banco de horas positivo
171,34,2022-11-18,0.74,0.0,Hora extra paga
172,34,2018-12-10,2.7,0.0,Hora extra paga
173,34,2022-07-14,3.73,0.0,Hora extra paga
174,34,2024-10-27,6.33,6.33,Banco de horas positivo
175,34,2023-10-17,0.94,0.0,Hora extra paga
176,34,2019-12-14,3.75,0.0,Hora extra paga
177,34,2021-09-30,2.06,2.06,Banco de horas positivo
178,35,2024-05-23,12.0,12.0,Banco de horas positivo
179,35,2021-07-15,3.38,0.0,Hora extra paga
180,35,2020-09-01,5.78,0.0,Hora extra paga
181,35,2025-09-18,1.69,0.0,Hora extra paga
182,35,2021-10-21,2.6,0.0,Compensação
183,35,2020-08-31,1.86,0.0,Hora extra paga
184,35,2021-05-29,2.47,2.47,Banco de horas positivo
185,35,2023-07-10,2.46,0.0,Compensação
186,35,2024-04-24,12.0,12.0,Banco de horas positivo
187,35,2024-12-21,8.34,0.0,Hora extra paga
188,35,2020-04-17,4.15,0.0,Hora extra paga
189,35,2025-11-04,2.93,0.0,Hora extra paga
190,35,2022-11-11,2.21,0.0,Hora extra paga
191,35,2022-06-28,2.2,2.2,Banco de horas positivo
192,36,2025-03-13,5.63,5.63,Banco de horas positivo
193,36,2023-08-12,8.17,8.17,Banco de horas positivo
194,36,2020-07-22,4.86,4.86,Banco de horas positivo
195,36,2022-02-24,0.64,0.64,Banco de horas positivo
196,36,2021-10-18,3.86,0.0,Hora extra paga
197,36,2020-10-18,3.72,3.72,Banco de horas positivo
198,36,2024-02-01,5.56,0.0,Hora extra paga
199,36,2020-10-02,3.84,3.84,Banco de horas positivo
200,36,2022-12-14,12.0,12.0,Banco de horas positivo
201,36,2025-03-26,1.64,0.0,Hora extra paga
202,36,2023-03-10,6.63,0.0,Hora extra paga
203,37,2024-05-04,5.41,0.0,Hora extra paga
204,37,2023-02-17,6.64,6.64,Banco de horas positivo
205,37,2025-02-16,5.65,0.0,Hora extra paga
206,37,2022-03-23,7.18,7.18,Banco de horas positivo
207,37,2023-03-02,8.17,8.17,Banco de horas positivo
208,37,2024-11-21,2.28,0.0,Hora extra paga
209,37,2023-05-22,5.61,0.0,Hora extra paga
210,37,2025-08-14,7.68,0.0,Hora extra paga
211,37,2024-11-29,2.51,0.0,Hora extra paga
212,37,2024-05-13,1.12,0.0,Compensação
213,38,2025-05-09,5.36,5.36,Banco de horas positivo
214,38,2025-07-26,7.78,0.0,Hora extra paga
215,39,2022-02-28,1.03,1.03,Banco de horas positivo
216,39,2025-06-02,1.65,0.0,Hora extra paga
217,39,2022-04-06,2.54,0.0,Compensação
218,39,2023-05-19,1.83,0.0,Hora extra paga
219,39,2023-09-26,4.99,0.0,Hora extra paga
220,39,2024-04-28,4.98,4.98,Banco de horas positivo
221,39,2025-04-20,2.6,2.6,Banco de horas positivo
222,39,2024-11-06,1.77,1.77,Banco de horas positivo
223,39,2024-08-20,6.6,6.6,Banco de horas positivo
224,40,2023-01-14,2.49,2.49,Banco de horas positivo
225,40,2025-11-13,11.8,0.0,Hora extra paga
226,40,2025-01-05,6.15,6.15,Banco de horas positivo
227,40,2024-09-06,5.8,5.8,Banco de horas positivo
228,40,2025-08-03,2.26,2.26,Banco de horas positivo
229,40,2020-09-02,2.61,0.0,Hora extra paga
230,40,2024-05-14,4.23,4.23,Banco de horas positivo
231,40,2024-02-22,0.49,0.0,Hora extra paga
232,40,2022-12-11,1.53,0.0,Hora extra paga
233,40,2020-12-25,0.64,0.0,Hora extra paga
234,40,2022-06-22,1.79,1.79,Banco de horas positivo
235,40,2025-08-25,4.91,0.0,Hora extra paga
236,40,2021-06-22,0.85,0.0,Compensação
237,40,2021-10-15,1.88,0.0,Hora extra paga
238,40,2025-06-28,1.64,0.0,Compensação
239,41,2024-11-09,4.82,0.0,Hora extra paga
240,41,2023-04-06,3.73,0.0,Hora extra paga
241,41,2023-10-11,1.67,1.67,Banco de horas positivo
242,41,2023-02-19,0.46,0.0,Hora extra paga
243,41,2024-02-11,4.18,0.0,Hora extra paga
244,41,2020-12-14,4.12,0.0,Hora extra paga
245,41,2024-10-20,2.06,0.0,Hora extra paga
246,41,2020-11-06,0.42,0.42,Banco de horas positivo
247,41,2019-01-19,4.03,0.0,Hora extra paga
248,41,2025-08-29,9.4,0.0,Hora extra paga
249,41,2023-10-29,2.7,2.7,Banco de horas positivo
250,41,2021-11-02,7.33,0.0,Hora extra paga
251,41,2023-01-09,12.0,0.0,Hora extra paga
252,41,2019-08-19,3.92,0.0,Hora extra paga
253,41,2025-08-23,8.68,8.68,Banco de horas positivo
254,41,2019-06-21,0.22,0.22,Banco de horas positivo
255,41,2025-10-18,6.71,0.0,Compensação
256,41,2023-12-06,10.79,0.0,Hora extra paga
257,41,2024-04-22,2.52,0.0,Hora extra paga
258,41,2025-08-08,8.29,0.0,Hora extra paga
259,42,2024-02-08,4.08,0.0,Hora extra paga
260,42,2023-11-19,6.43,6.43,Banco de horas positivo
261,42,2023-04-12,7.6,0.0,Compensação
262,42,2024-02-28,1.37,0.0,Hora extra paga
263,42,2021-12-18,0.93,0.0,Hora extra paga
264,42,2025-12-05,2.64,2.64,Banco de horas positivo
265,42,2024-08-14,2.72,2.72,Banco de horas positivo
266,42,2024-05-05,1.92,0.0,Hora extra paga
267,43,2025-08-16,2.09,0.0,Hora extra paga
268,43,2025-10-26,2.3,2.3,Banco de horas positivo
269,44,2025-05-09,3.07,3.07,Banco de horas positivo
270,44,2023-06-06,4.83,0.0,Hora extra paga
271,44,2023-04-17,3.78,3.78,Banco de horas positivo
272,44,2024-05-11,1.78,0.0,Hora extra paga
273,44,2025-06-17,8.78,0.0,Hora extra paga
274,44,2025-10-19,1.8,0.0,Hora extra paga
275,44,2023-08-31,0.78,0.78,Banco de horas positivo
276,44,2025-05-02,3.76,3.76,Banco de horas positivo
277,44,2022-10-12,6.45,6.45,Banco de horas positivo
278,44,2025-07-19,1.07,0.0,Compensação
279,44,2024-05-07,2.72,2.72,Banco de horas positivo
280,44,2025-07-03,4.73,0.0,Hora extra paga
281,44,2022-07-27,3.94,0.0,Compensação
282,44,2024-10-19,1.38,0.0,Hora extra paga
283,45,2023-10-17,7.2,0.0,Compensação
284,45,2024-01-30,1.62,0.0,Hora extra paga
285,45,2024-10-25,5.78,5.78,Banco de horas positivo
286,45,2023-01-15,3.18,3.18,Banco de horas positivo
287,45,2024-04-04,2.43,2.43,Banco de horas positivo
288,45,2022-12-01,3.2,3.2,Banco de horas positivo
289,45,2024-10-08,1.39,1.39,Banco de horas positivo
290,45,2024-12-08,5.12,0.0,Hora extra paga
291,46,2025-08-05,11.11,11.11,Banco de horas positivo
292,46,2025-10-05,3.36,0.0,Hora extra paga
293,47,2023-11-14,2.24,2.24,Banco de horas positivo
294,47,2025-04-08,1.8,1.8,Banco de horas positivo
295,47,2020-07-29,5.25,0.0,Hora extra paga
296,47,2020-06-28,1.65,0.0,Hora extra paga
297,47,2021-07-19,5.8,0.0,Compensação
298,47,2022-01-11,2.96,0.0,Compensação
299,48,2023-03-12,3.87,0.0,Hora extra paga
300,48,2022-01-11,1.51,1.51,Banco de horas positivo
301,48,2023-11-25,3.43,0.0,Hora extra paga
302,48,2024-04-04,2.08,2.08,Banco de horas positivo
303,48,2023-01-25,7.5,7.5,Banco de horas positivo
304,48,2022-11-15,4.1,0.0,Hora extra paga
305,48,2022-02-07,4.18,0.0,Hora extra paga
306,48,2025-12-05,2.74,0.0,Hora extra paga
307,48,2024-06-19,4.35,0.0,Compensação
308,48,2025-03-22,1.38,1.38,Banco de horas positivo
309,48,2024-06-23,2.76,0.0,Compensação
310,48,2022-04-04,2.59,2.59,Banco de horas positivo
311,48,2021-08-18,2.16,2.16,Banco de horas positivo
312,48,2024-01-06,2.59,2.59,Banco de horas positivo
313,48,2023-05-10,11.81,0.0,Hora extra paga
314,49,2024-09-10,1.46,1.46,Banco de horas positivo
315,49,2025-12-17,10.54,0.0,Hora extra paga
316,49,2024-11-11,3.45,3.45,Banco de horas positivo
317,49,2025-12-13,3.04,0.0,Hora extra paga
318,49,2024-07-18,0.6,0.6,Banco de horas positivo
319,49,2025-08-31,4.87,0.0,Compensação
320,50,2024-08-16,4.29,4.29,Banco de horas positivo
321,50,2021-03-08,8.03,0.0,Hora extra paga
322,50,2022-07-22,0.67,0.67,Banco de horas positivo
323,50,2020-08-28,2.46,0.0,Hora extra paga
324,50,2020-05-06,0.57,0.0,Hora extra paga
325,50,2024-04-16,1.76,1.76,Banco de horas positivo
326,50,2024-08-02,3.41,0.0,Hora extra paga
327,50,2019-04-28,5.59,0.0,Hora extra paga
328,50,2021-12-24,2.61,0.0,Compensação
329,50,2022-09-15,2.16,0.0,Hora extra paga
330,50,2020-01-04,1.78,1.78,Banco de horas positivo
331,50,2021-02-01,4.41,0.0,Hora extra paga
332,50,2019-01-22,3.55,3.55,Banco de horas positivo
333,50,2025-11-03,9.31,9.31,Banco de horas positivo
334,50,2025-10-18,7.54,7.54,Banco de horas positivo
335,50,2021-11-03,9.79,9.79,Banco de horas positivo
336,50,2020-04-04,2.79,0.0,Compensação
337,50,2024-02-22,2.14,0.0,Hora extra paga
338,50,2021-12-14,2.68,0.0,Hora extra paga
339,51,2025-06-03,2.34,2.34,Banco de horas positivo
340,51,2024-10-01,1.26,1.26,Banco de horas positivo
341,51,2023-11-24,3.82,3.82,Banco de horas positivo
342,51,2025-12-16,4.87,4.87,Banco de horas positivo
343,51,2024-05-11,1.43,0.0,Hora extra paga
344,51,2024-06-27,0.47,0.0,Hora extra paga
345,51,2023-11-13,1.34,1.34,Banco de horas positivo
346,51,2025-01-04,3.79,0.0,Hora extra paga
347,51,2023-11-17,6.58,6.58,Banco de horas positivo
348,51,2024-07-12,8.06,0.0,Hora extra paga
349,51,2025-01-18,1.39,0.0,Hora extra paga
350,52,2020-07-04,3.08,3.08,Banco de horas positivo
351,52,2025-10-24,0.92,0.0,Hora extra paga
352,52,2020-07-07,4.39,0.0,Hora extra paga
353,52,2021-11-15,1.99,1.99,Banco de horas positivo
354,52,2023-12-18,3.96,0.0,Hora extra paga
355,52,2024-11-03,9.06,0.0,Hora extra paga
356,52,2025-09-20,0.91,0.0,Hora extra paga
357,52,2022-03-04,5.53,0.0,Hora extra paga
358,52,2019-03-03,5.45,0.0,Hora extra paga
359,52,2020-07-12,2.33,0.0,Hora extra paga
360,52,2023-09-06,2.83,2.83,Banco de horas positivo
361,52,2019-03-20,2.04,2.04,Banco de horas positivo
362,52,2024-04-20,1.12,1.12,Banco de horas positivo
363,52,2025-12-28,4.8,0.0,Hora extra paga
364,52,2022-05-30,8.57,8.57,Banco de horas positivo
365,52,2022-03-01,2.26,2.26,Banco de horas positivo
366,52,2022-02-15,3.93,0.0,Hora extra paga
367,53,2022-11-20,7.44,7.44,Banco de horas positivo
368,53,2025-06-27,9.73,0.0,Hora extra paga
369,53,2025-08-26,2.95,2.95,Banco de horas positivo
370,54,2023-01-28,3.43,0.0,Hora extra paga
371,54,2024-06-17,2.48,0.0,Hora extra paga
372,54,2023-10-07,3.6,0.0,Hora extra paga
373,54,2020-04-21,5.65,0.0,Hora extra paga
374,55,2025-10-15,1.63,1.63,Banco de horas positivo
375,55,2024-12-23,4.05,4.05,Banco de horas positivo
376,55,2025-06-12,8.67,8.67,Banco de horas positivo
377,55,2025-12-26,2.0,0.0,Hora extra paga
378,55,2024-11-19,1.63,0.0,Hora extra paga
379,55,2024-10-23,2.06,2.06,Banco de horas positivo
380,55,2024-09-15,1.7,1.7,Banco de horas positivo
381,55,2024-02-06,6.78,0.0,Hora extra paga
382,55,2024-08-15,6.24,0.0,Hora extra paga
383,57,2022-01-27,2.07,0.0,Hora extra paga
384,57,2025-09-05,2.3,0.0,Hora extra paga
385,57,2025-08-16,0.85,0.85,Banco de horas positivo
386,57,2019-12-25,4.18,4.18,Banco de horas positivo
387,57,2024-05-19,2.66,0.0,Hora extra paga
388,57,2025-02-08,0.59,0.0,Compensação
389,57,2019-06-22,1.45,0.0,Hora extra paga
390,58,2024-10-01,9.66,9.66,Banco de horas positivo
391,58,2025-01-04,5.69,0.0,Compensação
392,60,2025-06-01,3.09,0.0,Hora extra paga
393,61,2021-11-06,3.22,3.22,Banco de horas positivo
394,61,2021-03-10,4.45,4.45,Banco de horas positivo
395,61,2022-01-15,6.17,0.0,Hora extra paga
396,61,2023-11-07,2.75,0.0,Hora extra paga
397,61,2025-08-06,0.35,0.35,Banco de horas positivo
398,61,2024-11-16,3.55,0.0,Compensação
399,61,2022-10-18,0.41,0.0,Compensação
400,61,2024-03-09,1.4,0.0,Hora extra paga
401,61,2022-04-01,5.01,0.0,Compensação
402,61,2022-06-08,8.97,0.0,Hora extra paga
403,61,2025-05-16,1.56,0.0,Hora extra paga
404,61,2021-02-19,1.48,0.0,Hora extra paga
405,61,2021-05-29,6.77,6.77,Banco de horas positivo
406,61,2025-08-17,6.87,0.0,Hora extra paga
407,61,2022-12-19,4.21,0.0,Hora extra paga
408,61,2022-02-07,0.06,0.0,Hora extra paga
409,61,2023-02-19,2.09,0.0,Hora extra paga
410,61,2022-08-25,3.84,3.84,Banco de horas positivo
411,61,2021-06-02,0.8,0.0,Hora extra paga
412,62,2022-10-20,1.82,0.0,Hora extra paga
413,62,2022-08-16,2.91,0.0,Hora extra paga
414,62,2023-07-10,0.2,0.2,Banco de horas positivo
415,62,2021-07-31,1.45,0.0,Hora extra paga
416,63,2023-05-19,2.84,2.84,Banco de horas positivo
417,63,2023-05-21,12.0,0.0,Hora extra paga
418,63,2022-09-06,12.0,0.0,Hora extra paga
419,63,2022-02-23,3.06,0.0,Hora extra paga
420,63,2022-10-05,0.98,0.0,Hora extra paga
421,63,2025-08-19,1.85,1.85,Banco de horas positivo
422,63,2022-07-09,3.36,0.0,Hora extra paga
423,63,2023-08-07,4.64,0.0,Hora extra paga
424,63,2025-01-07,4.32,0.0,Hora extra paga
425,64,2021-07-11,1.82,0.0,Hora extra paga
426,64,2023-10-29,3.19,3.19,Banco de horas positivo
427,64,2024-06-16,4.22,4.22,Banco de horas positivo
428,64,2025-01-01,12.0,0.0,Compensação
429,64,2020-03-18,4.81,4.81,Banco de horas positivo
430,64,2021-10-16,3.87,0.0,Compensação
431,64,2023-11-25,2.55,0.0,Hora extra paga
432,64,2024-02-20,7.39,0.0,Hora extra paga
433,64,2022-09-05,12.0,0.0,Compensação
434,65,2019-12-31,1.53,0.0,Hora extra paga
435,65,2019-08-31,5.2,5.2,Banco de horas positivo
436,65,2022-06-19,12.0,0.0,Hora extra paga
437,65,2021-03-01,6.31,0.0,Hora extra paga
438,65,2020-09-15,3.89,0.0,Compensação
439,65,2022-08-31,8.44,0.0,Hora extra paga
440,65,2020-06-17,1.03,1.03,Banco de horas positivo
441,65,2019-11-18,6.89,6.89,Banco de horas positivo
442,65,2023-06-15,7.06,0.0,Hora extra paga
443,65,2021-06-22,5.84,0.0,Hora extra paga
444,65,2024-08-09,7.13,7.13,Banco de horas positivo
445,65,2023-10-12,3.53,0.0,Compensação
446,66,2025-09-14,1.69,0.0,Hora extra paga
447,66,2021-02-19,2.29,2.29,Banco de horas positivo
448,66,2025-08-23,4.29,0.0,Hora extra paga
449,66,2025-01-26,3.41,3.41,Banco de horas positivo
450,66,2020-06-11,10.97,0.0,Hora extra paga
451,67,2025-10-03,3.25,0.0,Hora extra paga
452,67,2025-11-05,2.37,2.37,Banco de horas positivo
453,69,2019-12-09,2.15,0.0,Compensação
454,69,2021-11-17,2.8,0.0,Hora extra paga
455,69,2019-03-28,1.41,0.0,Hora extra paga
456,69,2020-09-21,0.66,0.0,Hora extra paga
457,69,2021-03-23,4.11,0.0,Hora extra paga
458,69,2019-12-05,1.38,1.38,Banco de horas positivo
459,69,2020-07-08,3.08,0.0,Compensação
460,70,2023-04-15,2.93,0.0,Hora extra paga
461,71,2023-10-08,5.13,0.0,Hora extra paga
462,71,2023-12-11,8.71,8.71,Banco de horas positivo
463,71,2025-08-14,5.38,0.0,Hora extra paga
464,71,2025-02-11,1.29,0.0,Hora extra paga
465,71,2022-10-08,1.57,0.0,Hora extra paga
466,71,2023-01-26,0.61,0.0,Hora extra paga
467,71,2021-09-23,3.49,0.0,Compensação
468,71,2025-10-22,8.29,8.29,Banco de horas positivo
469,71,2021-08-01,7.84,7.84,Banco de horas positivo
470,71,2022-09-02,3.91,3.91,Banco de horas positivo
471,71,2023-12-10,6.8,0.0,Hora extra paga
472,71,2025-05-09,6.92,6.92,Banco de horas positivo
473,71,2025-12-07,3.22,0.0,Compensação
474,71,2025-05-09,5.17,0.0,Compensação
475,72,2025-06-14,3.98,3.98,Banco de horas positivo
476,72,2023-07-03,5.14,0.0,Hora extra paga
477,72,2023-06-09,2.55,0.0,Hora extra paga
478,72,2021-06-06,5.8,5.8,Banco de horas positivo
479,72,2022-12-03,3.49,0.0,Compensação
480,72,2025-06-08,1.72,0.0,Hora extra paga
481,72,2024-05-17,8.62,0.0,Hora extra paga
482,72,2023-12-11,3.15,0.0,Compensação
483,72,2023-06-07,8.75,0.0,Hora extra paga
484,72,2025-07-18,5.77,0.0,Hora extra paga
485,72,2025-05-01,4.28,4.28,Banco de horas positivo
486,72,2023-08-17,0.54,0.54,Banco de horas positivo
487,72,2024-02-15,3.79,0.0,Hora extra paga
488,72,2023-08-01,2.18,0.0,Hora extra paga
489,72,2022-09-02,5.48,5.48,Banco de horas positivo
490,72,2022-10-11,3.45,3.45,Banco de horas positivo
491,72,2022-01-16,2.65,0.0,Hora extra paga
492,73,2021-09-17,1.27,1.27,Banco de horas positivo
493,73,2023-09-13,3.68,0.0,Compensação
494,74,2024-09-08,12.0,12.0,Banco de horas positivo
495,74,2025-08-27,1.49,0.0,Compensação
496,74,2024-09-07,0.72,0.0,Hora extra paga
497,74,2024-05-12,3.49,0.0,Hora extra paga
498,75,2022-09-15,6.22,0.0,Hora extra paga
499,75,2023-03-20,4.83,0.0,Hora extra paga
500,75,2021-07-29,12.0,0.0,Hora extra paga
501,75,2023-10-12,4.35,0.0,Hora extra paga
502,75,2022-12-20,3.08,0.0,Hora extra paga
503,76,2024-05-23,1.5,0.0,Hora extra paga
504,76,2023-09-27,4.4,4.4,Banco de horas positivo
505,76,2023-03-21,5.29,5.29,Banco de horas positivo
506,76,2022-11-21,7.59,0.0,Compensação
